seed	model_key	model_label	offline_test_acc	offline_test_macro_f1	practical_in_1_acc	practical_in_2_acc	practical_out_1_acc	practical_out_2_acc	practical_in_avg	practical_out_avg	practical_avg	practical_macro_f1_avg	offline_to_practical_drop
42	01_glove_vision_only	Glove vision-only	0.8889	0.8768	0.7777777777777778	0.9	0.6	0.6333333333333333	0.8388888888888889	0.6166666666666667	0.7277777777777777	0.6955766757748003	0.16112222222222228
42	02_naive_raw_fusion	Naive raw fusion	0.9	0.8796	0.8388888888888889	0.9	0.6833333333333333	0.8055555555555556	0.8694444444444445	0.7444444444444445	0.8069444444444445	0.7873167933186408	0.09305555555555556
42	03_feature_redesigned_simple_fusion	Feature redesigned simple fusion	0.9444	0.9425	0.9333333333333333	0.9444444444444444	0.7944444444444444	0.8166666666666667	0.9388888888888889	0.8055555555555556	0.8722222222222222	0.8596642299272068	0.07217777777777779
42	04_stable_hybrid	Stable hybrid	0.9778	0.9769	0.8333333333333334	0.9388888888888889	0.75	0.8222222222222222	0.8861111111111111	0.7861111111111111	0.836111111111111	0.8306183197423233	0.14168888888888898
43	01_glove_vision_only	Glove vision-only	0.9318	0.9308	0.7277777777777777	0.8722222222222222	0.5111111111111111	0.5888888888888889	0.8	0.55	0.675	0.6317012522833405	0.2567999999999999
43	02_naive_raw_fusion	Naive raw fusion	0.9318	0.929	0.85	0.9611111111111111	0.6333333333333333	0.7055555555555556	0.9055555555555556	0.6694444444444445	0.7875000000000001	0.76867601168618	0.14429999999999987
43	03_feature_redesigned_simple_fusion	Feature redesigned simple fusion	0.9659	0.9656	0.9055555555555556	0.9388888888888889	0.7555555555555555	0.7222222222222222	0.9222222222222223	0.7388888888888889	0.8305555555555556	0.8175661191376107	0.13534444444444438
43	04_stable_hybrid	Stable hybrid	0.9545	0.9507	0.9	0.9611111111111111	0.7555555555555555	0.7666666666666667	0.9305555555555556	0.7611111111111111	0.8458333333333333	0.8311505828448885	0.10866666666666669
44	01_glove_vision_only	Glove vision-only	0.9333	0.932	0.7277777777777777	0.8722222222222222	0.6111111111111112	0.5944444444444444	0.8	0.6027777777777779	0.701388888888889	0.6616458106493229	0.23191111111111107
44	02_naive_raw_fusion	Naive raw fusion	0.9667	0.9656	0.8333333333333334	0.9277777777777778	0.7222222222222222	0.6888888888888889	0.8805555555555555	0.7055555555555555	0.7930555555555556	0.7774554991869644	0.17364444444444438
44	03_feature_redesigned_simple_fusion	Feature redesigned simple fusion	0.9444	0.9425	0.8722222222222222	0.9277777777777778	0.8111111111111111	0.7555555555555555	0.9	0.7833333333333333	0.8416666666666667	0.820634543381799	0.10273333333333334
44	04_stable_hybrid	Stable hybrid	0.9333	0.9147	0.7944444444444444	0.8888888888888888	0.7055555555555556	0.6277777777777778	0.8416666666666666	0.6666666666666667	0.7541666666666667	0.7302753460561283	0.17913333333333337
45	01_glove_vision_only	Glove vision-only	0.8523	0.8399	0.7	0.8722222222222222	0.6222222222222222	0.5777777777777777	0.7861111111111111	0.6	0.6930555555555555	0.6530651935819675	0.1592444444444444
45	02_naive_raw_fusion	Naive raw fusion	0.9545	0.9471	0.9	0.9166666666666666	0.8055555555555556	0.8166666666666667	0.9083333333333333	0.8111111111111111	0.8597222222222223	0.8558756562029726	0.09477777777777774
45	03_feature_redesigned_simple_fusion	Feature redesigned simple fusion	0.9545	0.9471	0.9333333333333333	0.9611111111111111	0.8	0.8	0.9472222222222222	0.8	0.8736111111111111	0.8648346141998325	0.0808888888888889
45	04_stable_hybrid	Stable hybrid	0.9545	0.9471	0.9111111111111111	0.9722222222222222	0.7666666666666667	0.7666666666666667	0.9416666666666667	0.7666666666666667	0.8541666666666666	0.8420094228465327	0.10033333333333339
46	01_glove_vision_only	Glove vision-only	0.9889	0.9888	0.7555555555555555	0.8611111111111112	0.6611111111111111	0.6055555555555555	0.8083333333333333	0.6333333333333333	0.7208333333333333	0.6955276722134633	0.2680666666666667
46	02_naive_raw_fusion	Naive raw fusion	0.9889	0.9888	0.8888888888888888	0.9722222222222222	0.7277777777777777	0.7555555555555555	0.9305555555555556	0.7416666666666667	0.8361111111111111	0.8190856128535093	0.15278888888888886
46	03_feature_redesigned_simple_fusion	Feature redesigned simple fusion	0.9889	0.9888	0.8444444444444444	0.8833333333333333	0.7777777777777778	0.8277777777777777	0.8638888888888889	0.8027777777777778	0.8333333333333333	0.8180589740143296	0.15556666666666674
46	04_stable_hybrid	Stable hybrid	0.9889	0.9888	0.9277777777777778	0.9666666666666667	0.8166666666666667	0.7611111111111111	0.9472222222222222	0.7888888888888889	0.8680555555555556	0.8598336852717666	0.12084444444444442
