actual_group,predicted_group,count,row_rate
Direction,Direction,600,1.000000
Direction,Wrist angle,0,0.000000
Direction,Bend/path,0,0.000000
Direction,Additional motion,0,0.000000
Direction,Cross-hand,0,0.000000
Direction,Instant handshape,0,0.000000
Direction,Handshape,0,0.000000
Wrist angle,Direction,0,0.000000
Wrist angle,Wrist angle,368,0.920000
Wrist angle,Bend/path,0,0.000000
Wrist angle,Additional motion,24,0.060000
Wrist angle,Cross-hand,1,0.002500
Wrist angle,Instant handshape,0,0.000000
Wrist angle,Handshape,7,0.017500
Bend/path,Direction,1,0.001667
Bend/path,Wrist angle,1,0.001667
Bend/path,Bend/path,582,0.970000
Bend/path,Additional motion,1,0.001667
Bend/path,Cross-hand,15,0.025000
Bend/path,Instant handshape,0,0.000000
Bend/path,Handshape,0,0.000000
Additional motion,Direction,0,0.000000
Additional motion,Wrist angle,85,0.212500
Additional motion,Bend/path,2,0.005000
Additional motion,Additional motion,305,0.762500
Additional motion,Cross-hand,6,0.015000
Additional motion,Instant handshape,0,0.000000
Additional motion,Handshape,2,0.005000
Cross-hand,Direction,0,0.000000
Cross-hand,Wrist angle,0,0.000000
Cross-hand,Bend/path,0,0.000000
Cross-hand,Additional motion,0,0.000000
Cross-hand,Cross-hand,400,1.000000
Cross-hand,Instant handshape,0,0.000000
Cross-hand,Handshape,0,0.000000
Instant handshape,Direction,1,0.002500
Instant handshape,Wrist angle,1,0.002500
Instant handshape,Bend/path,0,0.000000
Instant handshape,Additional motion,0,0.000000
Instant handshape,Cross-hand,0,0.000000
Instant handshape,Instant handshape,398,0.995000
Instant handshape,Handshape,0,0.000000
Handshape,Direction,0,0.000000
Handshape,Wrist angle,11,0.013750
Handshape,Bend/path,0,0.000000
Handshape,Additional motion,1,0.001250
Handshape,Cross-hand,2,0.002500
Handshape,Instant handshape,0,0.000000
Handshape,Handshape,786,0.982500
