actual_group,predicted_group,count,row_rate
Direction,Direction,589,0.981667
Direction,Wrist angle,0,0.000000
Direction,Bend/path,11,0.018333
Direction,Additional motion,0,0.000000
Direction,Cross-hand,0,0.000000
Direction,Instant handshape,0,0.000000
Direction,Handshape,0,0.000000
Wrist angle,Direction,0,0.000000
Wrist angle,Wrist angle,389,0.972500
Wrist angle,Bend/path,0,0.000000
Wrist angle,Additional motion,4,0.010000
Wrist angle,Cross-hand,3,0.007500
Wrist angle,Instant handshape,0,0.000000
Wrist angle,Handshape,4,0.010000
Bend/path,Direction,0,0.000000
Bend/path,Wrist angle,3,0.005000
Bend/path,Bend/path,503,0.838333
Bend/path,Additional motion,0,0.000000
Bend/path,Cross-hand,92,0.153333
Bend/path,Instant handshape,2,0.003333
Bend/path,Handshape,0,0.000000
Additional motion,Direction,4,0.010000
Additional motion,Wrist angle,88,0.220000
Additional motion,Bend/path,27,0.067500
Additional motion,Additional motion,267,0.667500
Additional motion,Cross-hand,7,0.017500
Additional motion,Instant handshape,0,0.000000
Additional motion,Handshape,7,0.017500
Cross-hand,Direction,0,0.000000
Cross-hand,Wrist angle,0,0.000000
Cross-hand,Bend/path,0,0.000000
Cross-hand,Additional motion,0,0.000000
Cross-hand,Cross-hand,400,1.000000
Cross-hand,Instant handshape,0,0.000000
Cross-hand,Handshape,0,0.000000
Instant handshape,Direction,30,0.075000
Instant handshape,Wrist angle,0,0.000000
Instant handshape,Bend/path,3,0.007500
Instant handshape,Additional motion,8,0.020000
Instant handshape,Cross-hand,0,0.000000
Instant handshape,Instant handshape,359,0.897500
Instant handshape,Handshape,0,0.000000
Handshape,Direction,0,0.000000
Handshape,Wrist angle,14,0.017500
Handshape,Bend/path,0,0.000000
Handshape,Additional motion,3,0.003750
Handshape,Cross-hand,8,0.010000
Handshape,Instant handshape,0,0.000000
Handshape,Handshape,775,0.968750
