"Name","ModelType","SensorMode","SensorRawDim","UseFlexPosture","Accuracy","MacroF1","Path"
"fusion_train_output",,,,,"0.9889","0.9952","C:\SignProject2\_archive_notebook_legacy_2026-04-05\fusion_train_output"
"fusion_train_output_hold_v3",,,,,"0.7875","1","C:\SignProject2\_archive_notebook_legacy_2026-04-05\fusion_train_output_hold_v3"
"fusion_train_output_hold_v4_flags",,"imu_flags","18",,"0.9107","0.9756","C:\SignProject2\_archive_notebook_legacy_2026-04-05\fusion_train_output_hold_v4_flags"
"fusion_train_output_hold_v4_flags_no_s4",,,"26",,"0.875","0.994","C:\SignProject2\_archive_notebook_legacy_2026-04-05\fusion_train_output_hold_v4_flags_no_s4"
"fusion_train_output_hold_v4_flags_no_s4_imu_flags",,"imu_flags","18",,"0.8125","1","C:\SignProject2\_archive_notebook_legacy_2026-04-05\fusion_train_output_hold_v4_flags_no_s4_imu_flags"
"fusion_train_output_zero_v1",,,,,"0.942","1","C:\SignProject2\_archive_notebook_legacy_2026-04-05\fusion_train_output_zero_v1"
"fusion_train_output_zero_v2",,,,,"0.8375","0.9876","C:\SignProject2\_archive_notebook_legacy_2026-04-05\fusion_train_output_zero_v2"
"vision_results_from_fusion_hold_v3","lstm",,,,"0.725","0.9436","C:\SignProject2\_archive_notebook_legacy_2026-04-05\vision_results_from_fusion_hold_v3"
"vision_results_from_fusion_zero_v2","lstm",,,,"0.725","0.8442","C:\SignProject2\_archive_notebook_legacy_2026-04-05\vision_results_from_fusion_zero_v2"
"fusion_cmp_seed42_hybrid","vision_guided_sensor_gate_flex_v3_lstm","imu_flags","18","True","0.875","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed42_hybrid"
"fusion_cmp_seed42_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9464","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed42_hybrid_stable"
"fusion_cmp_seed42_input_only","dual_input_lstm","imu_flags","18","True","0.9643","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed42_input_only"
"fusion_cmp_seed43_hybrid","vision_guided_sensor_gate_flex_v3_lstm","imu_flags","18","True","0.8125","0.9834","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed43_hybrid"
"fusion_cmp_seed43_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.85","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed43_hybrid_stable"
"fusion_cmp_seed43_input_only","dual_input_lstm","imu_flags","18","True","0.7875","0.9222","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed43_input_only"
"fusion_cmp_seed44_hybrid","vision_guided_sensor_gate_flex_v3_lstm","imu_flags","18","True","0.8571","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed44_hybrid"
"fusion_cmp_seed44_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9107","0.9878","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed44_hybrid_stable"
"fusion_cmp_seed44_input_only","dual_input_lstm","imu_flags","18","True","0.8393","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed44_input_only"
"fusion_cmp_seed45_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9821","0.9919","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed45_hybrid_stable"
"fusion_cmp_seed46_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9286","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed46_hybrid_stable"
"fusion_cmp_seed47_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9107","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed47_hybrid_stable"
"fusion_cmp_seed48_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9286","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed48_hybrid_stable"
"fusion_cmp_seed49_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9464","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed49_hybrid_stable"
"fusion_cmp_seed50_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.875","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed50_hybrid_stable"
"fusion_cmp_seed51_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9464","1","C:\SignProject2\_lsm_version_snapshot\fusion_cmp_seed51_hybrid_stable"
"fusion_train_output_hold_v4_flags_gate_flexposture_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9464","1","C:\SignProject2\_lsm_version_snapshot\fusion_train_output_hold_v4_flags_gate_flexposture_stable"
"fusion_train_output_hold_v4_flags_gate_flexposture_test","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.8214","0.9839","C:\SignProject2\_lsm_version_snapshot\fusion_train_output_hold_v4_flags_gate_flexposture_test"
"fusion_train_output_hold_v4_flags_gate_flexposture_v2_context","vision_guided_sensor_gate_flex_v2_lstm","imu_flags","18","True","0.875","1","C:\SignProject2\_lsm_version_snapshot\fusion_train_output_hold_v4_flags_gate_flexposture_v2_context"
"fusion_train_output_hold_v4_flags_gate_flexposture_v3_refine","vision_guided_sensor_gate_flex_v3_lstm","imu_flags","18","True","0.875","1","C:\SignProject2\_lsm_version_snapshot\fusion_train_output_hold_v4_flags_gate_flexposture_v3_refine"
"fusion_train_output_hold_v4_flags_imu_flags_flexposture",,"imu_flags","18","True","0.9107","0.9919","C:\SignProject2\_lsm_version_snapshot\fusion_train_output_hold_v4_flags_imu_flags_flexposture"
"fusion_train_output_hold_v4_flags_imu_flags_flexposture_v2",,"imu_flags","18","True","0.9286","0.9714","C:\SignProject2\_lsm_version_snapshot\fusion_train_output_hold_v4_flags_imu_flags_flexposture_v2"
"fusion_train_output_hold_v4_flags_no_s4_imu_flags_flexposture_v2",,"imu_flags","18","True","1","0.994","C:\SignProject2\_lsm_version_snapshot\fusion_train_output_hold_v4_flags_no_s4_imu_flags_flexposture_v2"
"fusion_train_output_hold_v4_flags_gate_v2",,,"26",,"0.9643","0.9919","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\fusion_train_output_hold_v4_flags_gate_v2"
"fusion_v2","vision_guided_sensor_gate_lstm",,"26",,"0.9107","0.9798","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\fusion_v2"
"cmp_seed42_raw","vision_guided_sensor_gate_lstm",,"26",,"0.9643","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\cmp_seed42_raw"
"cmp_seed43_raw","vision_guided_sensor_gate_lstm",,"26",,"0.8125","0.9723","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\cmp_seed43_raw"
"cmp_seed44_raw","vision_guided_sensor_gate_lstm",,"26",,"0.9107","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\cmp_seed44_raw"
"friend_gate_imu_flags_seed42","vision_guided_sensor_gate_lstm","imu_flags","18",,"0.8571","0.9355","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_imu_flags_seed42"
"friend_gate_raw_alpha03_seed42","vision_guided_sensor_gate_lstm","all","26",,"0.9643","0.996","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed42"
"friend_gate_raw_alpha03_seed43","vision_guided_sensor_gate_lstm","all","26",,"0.9","0.9946","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed43"
"friend_gate_raw_alpha03_seed44","vision_guided_sensor_gate_lstm","all","26",,"0.8929","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed44"
"friend_gate_raw_alpha03_seed45","vision_guided_sensor_gate_lstm","all","26",,"0.8393","0.9839","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed45"
"friend_gate_raw_alpha03_seed46","vision_guided_sensor_gate_lstm","all","26",,"0.9464","0.9798","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed46"
"friend_gate_raw_alpha03_seed47","vision_guided_sensor_gate_lstm","all","26",,"0.9464","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed47"
"friend_gate_raw_alpha03_seed48","vision_guided_sensor_gate_lstm","all","26",,"0.8929","0.9798","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed48"
"friend_gate_raw_alpha03_seed49","vision_guided_sensor_gate_lstm","all","26",,"0.9464","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed49"
"friend_gate_raw_alpha03_seed50","vision_guided_sensor_gate_lstm","all","26",,"0.8","0.9946","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed50"
"friend_gate_raw_alpha03_seed51","vision_guided_sensor_gate_lstm","all","26",,"0.8929","0.9879","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed51"
"friend_gate_raw_alpha05_seed42","vision_guided_sensor_gate_lstm","all","26",,"0.9464","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha05_seed42"
"friend_gate_raw_alpha05_seed43","vision_guided_sensor_gate_lstm","all","26",,"0.8875","0.9946","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha05_seed43"
"friend_gate_raw_alpha05_seed44","vision_guided_sensor_gate_lstm","all","26",,"0.9107","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha05_seed44"
"friend_gate_raw_alpha07_seed42","vision_guided_sensor_gate_lstm","all","26",,"0.9643","0.996","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\friend_gate_raw_alpha07_seed42"
"fusion_gate_stable","vision_guided_sensor_gate_lstm",,"26",,"0.9643","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\fusion_gate_stable"
"stable_compare_fusion","vision_guided_sensor_gate_lstm",,"26",,"0.9643","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\stable_compare_fusion"
"stable_compare_vision_only","vision_only_lstm",,"26",,"0.8571","1","C:\SignProject2\_lsm_version_snapshot\gksdydtjr\gksdydtjr\stable_compare_vision_only"
"vision_results_from_fusion_hold_v4_flags","lstm",,,,"0.9286","0.9218","C:\SignProject2\_lsm_version_snapshot\vision_results_from_fusion_hold_v4_flags"
"vision_results_from_fusion_hold_v4_flags_no_s4","lstm",,,,"1","0.994","C:\SignProject2\_lsm_version_snapshot\vision_results_from_fusion_hold_v4_flags_no_s4"
"cmp_seed_glove_fusion_stable42","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9286","1","C:\SignProject2\cmp_seed_glove_fusion_stable42"
"cmp_seed_glove_fusion_stable43","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.875","0.9946","C:\SignProject2\cmp_seed_glove_fusion_stable43"
"cmp_seed_glove_fusion_stable44","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.8929","1","C:\SignProject2\cmp_seed_glove_fusion_stable44"
"cmp_seed_glove_fusion_stable45","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9643","1","C:\SignProject2\cmp_seed_glove_fusion_stable45"
"cmp_seed_glove_fusion_stable46","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9286","1","C:\SignProject2\cmp_seed_glove_fusion_stable46"
"cmp_seed_glove_fusion_stable47","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9286","1","C:\SignProject2\cmp_seed_glove_fusion_stable47"
"cmp_seed_glove_fusion_stable48","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.875","1","C:\SignProject2\cmp_seed_glove_fusion_stable48"
"cmp_seed_glove_fusion_stable49","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9286","1","C:\SignProject2\cmp_seed_glove_fusion_stable49"
"cmp_seed_glove_fusion_stable50","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.875","1","C:\SignProject2\cmp_seed_glove_fusion_stable50"
"cmp_seed_glove_fusion_stable51","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.8929","0.9919","C:\SignProject2\cmp_seed_glove_fusion_stable51"
"fusion_cmp_seed42_hybrid","vision_guided_sensor_gate_flex_v3_lstm","imu_flags","18","True","0.875","1","C:\SignProject2\fusion_cmp_seed42_hybrid"
"fusion_cmp_seed42_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9464","1","C:\SignProject2\fusion_cmp_seed42_hybrid_stable"
"fusion_cmp_seed42_input_only","dual_input_lstm","imu_flags","18","True","0.9643","1","C:\SignProject2\fusion_cmp_seed42_input_only"
"fusion_cmp_seed43_hybrid","vision_guided_sensor_gate_flex_v3_lstm","imu_flags","18","True","0.8125","0.9834","C:\SignProject2\fusion_cmp_seed43_hybrid"
"fusion_cmp_seed43_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.85","1","C:\SignProject2\fusion_cmp_seed43_hybrid_stable"
"fusion_cmp_seed43_input_only","dual_input_lstm","imu_flags","18","True","0.7875","0.9222","C:\SignProject2\fusion_cmp_seed43_input_only"
"fusion_cmp_seed44_hybrid","vision_guided_sensor_gate_flex_v3_lstm","imu_flags","18","True","0.8571","1","C:\SignProject2\fusion_cmp_seed44_hybrid"
"fusion_cmp_seed44_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9107","0.9878","C:\SignProject2\fusion_cmp_seed44_hybrid_stable"
"fusion_cmp_seed44_input_only","dual_input_lstm","imu_flags","18","True","0.8393","1","C:\SignProject2\fusion_cmp_seed44_input_only"
"fusion_cmp_seed45_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9821","0.9919","C:\SignProject2\fusion_cmp_seed45_hybrid_stable"
"fusion_cmp_seed46_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9286","1","C:\SignProject2\fusion_cmp_seed46_hybrid_stable"
"fusion_cmp_seed47_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9107","1","C:\SignProject2\fusion_cmp_seed47_hybrid_stable"
"fusion_cmp_seed48_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9286","1","C:\SignProject2\fusion_cmp_seed48_hybrid_stable"
"fusion_cmp_seed49_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9464","1","C:\SignProject2\fusion_cmp_seed49_hybrid_stable"
"fusion_cmp_seed50_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.875","1","C:\SignProject2\fusion_cmp_seed50_hybrid_stable"
"fusion_cmp_seed51_hybrid_stable","vision_guided_sensor_gate_flex_lstm","imu_flags","18","True","0.9464","1","C:\SignProject2\fusion_cmp_seed51_hybrid_stable"
