label,seed,output_dir,test_accuracy,test_macro_f1,test_weighted_f1,val_accuracy,split_strategy
bare_vision_only,42,cmp_seed_bare_vision42,0.925,0.9246,0.9246,0.9875,group_session_stratified
bare_vision_only,43,cmp_seed_bare_vision43,0.9,0.8974,0.8974,0.975,group_session_stratified
bare_vision_only,44,cmp_seed_bare_vision44,0.9375,0.9372,0.9372,0.975,group_session_stratified
bare_vision_only,45,cmp_seed_bare_vision45,0.9,0.8978,0.8978,0.975,group_session_stratified
bare_vision_only,46,cmp_seed_bare_vision46,0.9,0.8974,0.8974,0.975,group_session_stratified
bare_vision_only,47,cmp_seed_bare_vision47,0.8875,0.8798,0.8798,0.9375,group_session_stratified
bare_vision_only,48,cmp_seed_bare_vision48,0.8625,0.8502,0.8502,0.9875,group_session_stratified
bare_vision_only,49,cmp_seed_bare_vision49,0.9,0.8978,0.8978,0.9625,group_session_stratified
bare_vision_only,50,cmp_seed_bare_vision50,0.925,0.9246,0.9246,0.9875,group_session_stratified
bare_vision_only,51,cmp_seed_bare_vision51,0.9,0.8992,0.8992,0.9875,group_session_stratified
